,ingredients,Count
972,琴鱼,1
973,琵琶腿,3
974,琵琶虾,1
975,琼脂,8
976,甘草,14
977,甘蓝,1
978,甘蔗,1
979,甘薯,2
980,甘薯白心,2
981,甜椒,4
982,甜玉米,6
983,甜瓜,4
984,甜菜根,1
985,甜辣酱,6
986,甜酒曲,3
987,甜酱油,1
988,甜醋,7
989,甜面酱,139
990,生姜,103
991,生姜片,2
992,生姜粉,1
993,生抽,1301
994,生抽味极鲜,1
995,生抽秘制酱,1
996,生抽酱油,5
997,生淀粉,1
998,生粉,228
999,生花生米,3
1000,生菜,93
1001,生蚝,7
1002,生鱼片,1
1003,田螺,10
1004,田鸡,10
1005,田鸡腿,2
1006,甲鱼,22
1007,番茄,2
1008,番茄汁,4
1009,番茄沙司,17
1010,番茄甜辣酱,1
1011,番茄酱,278
1012,番薯叶,4
1013,瘦猪肉,1
1014,瘦肉,16
1015,白兰地,1
1016,白凉粉,2
1017,白味增,1
1018,白寇,1
1019,白巧克力,1
1020,白朗姆酒,1
1021,白术,2
1022,白条鱼裸鱼,1
1023,白果,4
1024,白果干,17
1025,白油,2
1026,白灵菇,2
1027,白矾,3
1028,白砂糖,398
1029,白米虾,1
1030,白糖,1814
1031,白糖b,1
1032,白胡椒,79
1033,白胡椒粉,43
1034,白胡椒粉秘制酱,1
1035,白胡椒粒,1
1036,白芍,1
1037,白芝麻,92
1038,白芝麻可选,1
1039,白芝麻馅料部分,1
1040,白芷,17
1041,白芸豆,1
1042,白茄子,1
1043,白菜,164
1044,白菜叶,2
1045,白菜薹,4
1046,白萝卜,104
1047,白葡萄酒,4
1048,白薯,1
1049,白虾,3
1050,白豆,2
1051,白豆蔻,1
1052,白贝,1
1053,白辣椒,6
1054,白酒,174
1055,白酒或者料酒,1
1056,白酱油,33
1057,白醋,128
1058,白鱼,6
1059,白鲞黄鱼干制品,1
1060,白鲢鱼,1
1061,百叶,1
1062,百合,20
1063,百合粉,1
1064,百里香,6
1065,百香果汁,1
1066,皖鱼,2
1067,皮渣,1
1068,皮皮虾,5
1069,盐,454
1070,盐未经,1
1071,盐水,1
1072,盐焗粉,1
1073,盐焗鸡粉,1
1074,盐生抽味精鸡精,1
1075,盐秘制酱,1
1076,盐适量,1
1077,眉豆,1
1078,真姬菇,8
1079,真蛸章鱼,1
1080,石斑鱼,2
1081,石榴,2
1082,石耳,2
1083,石花菜,1
1084,矿泉水,6
1085,砂仁,22
1086,砂糖,7
1087,碎米芽菜,2
1088,碗汁料酒,1
1089,碱,31
1090,磨豉酱,1
1091,磷虾肉,1
1092,祖名内脂豆腐,1
1093,禧运年切片年糕,9
1094,秀珍菇,4
1095,秋刀鱼,6
1096,秋葵,2
1097,秋黄瓜,1
1098,秘制叉烧酱,1
1099,秘制底料,1
1100,空心菜,13
1101,章鱼,5
1102,童子鸡,19
1103,竹炭粉,1
1104,竹笋,79
1105,竹笋纸,1
1106,竹荪,12
1107,竹蔗,1
1108,竹轮,1
1109,笋干,32
1110,笋片,1
1111,笔管鱼,1
1112,笨鸡,1
1113,等等,1
1114,米,2
1115,米婆婆甜香酒酿,5
1116,米粉,23
1117,米线,16
1118,米豆腐,2
1119,米酒,7
1120,米醋,83
1121,米饭,70
1122,籼米标一,2
1123,粄条,1
1124,粉丝,113
1125,粉利,1
1126,粉条,17
1127,粉条干,58
1128,粉皮,27
1129,粉芡土豆淀粉,1
1130,粉芡料酒,1
1131,粉芡水,1
1132,粉芡油,1
1133,粉蒸肉,1
1134,粗盐,9
1135,粘米粉,7
1136,粳米标一,12
1137,粽叶,8
1138,精制红油,1
1139,精盐,25
1140,精肉,2
1141,糍粑,1
1142,糍粑辣椒,2
1143,糕粉,2
1144,糖,106
1145,糖桂花,30
1146,糖水油皮,1
1147,糖浆,2
1148,糖秘制酱,1
1149,糖粉,37
1150,糖色,22
1151,糖蜜,1
1152,糖醋汁盐,1
1153,糖醋汁糖,1
1154,糖醋汁醋,1
1155,糖醋酱,1
1156,糖馅料部分,1
1157,糙米,9
1158,糜子面,3
1159,糟卤,6
1160,糟豆腐乳,1
1161,糟辣椒,2
1162,糯米,135
1163,糯米甜醋,1
1164,糯米粉,71
1165,糯米粉馅料部分,1
1166,糯米饭,3
1167,素火腿,4
1168,素鸡,9
1169,紫干葱头,1
1170,紫甘蓝,27
1171,紫皮茄子,1
1172,紫石房蛤,1
1173,紫米,1
1174,紫糯米,3
1175,紫苏,23
1176,紫苏子,1
1177,紫茄子,2
1178,紫菜,13
1179,紫薯,33
1180,紫薯粉,1
1181,紫薯馅,2
1182,紫贝菜,1
